Date,gross,net
2019-01-07,0.007608513748563872,0.007358513748563872
2019-01-08,-0.006888533024062181,-0.007388533024062181
2019-01-09,-0.002057798466963888,-0.002807798466963889
2019-01-10,-0.009601503311087264,-0.010601503311087265
2019-01-11,-0.01072623288789902,-0.011976232887899022
2019-01-14,-0.014986107012466785,-0.016486107012466784
2019-01-15,-0.016212320674488554,-0.017962320674488552
2019-01-16,-0.021829530961918996,-0.023829530961918994
2019-01-17,-0.025531229155243702,-0.027781229155243704
2019-01-18,0.005424955299863459,0.002924955299863457
2019-01-22,0.01708068002127118,0.01433068002127118
2019-01-23,-0.003876169932023329,-0.00687616993202333
2019-01-24,-0.03564317399196318,-0.03889317399196318
2019-01-25,-0.0024780449810098554,-0.0059780449810098585
2019-01-28,0.011844947822824754,0.008094947822824751
2019-01-29,-0.03380662235016111,-0.03780662235016111
2019-01-30,-0.05573462925283395,-0.05998462925283395
2019-01-31,-0.0630090746660048,-0.06750907466600481
2019-02-01,-0.06968263597932976,-0.07443263597932977
2019-02-04,-0.07527369015154411,-0.08027369015154412
2019-02-05,-0.07573182839175903,-0.08098182839175903
2019-02-06,-0.0683923379335619,-0.07389233793356191
2019-02-07,-0.07338943772816511,-0.07913943772816512
2019-02-08,-0.07273640277077636,-0.07873640277077637
2019-02-11,-0.08294136826179645,-0.08919136826179645
2019-02-12,-0.08460916208196688,-0.09110916208196689
2019-02-13,-0.09500608185906718,-0.10175608185906719
2019-02-14,-0.09717683052012463,-0.10417683052012464
2019-02-15,-0.09943065557185214,-0.10668065557185215
2019-02-19,-0.10121765021743914,-0.10871765021743915
2019-02-20,-0.09386653239925248,-0.10161653239925249
2019-02-21,-0.09710109251701218,-0.10510109251701219
2019-02-22,-0.11095354702069699,-0.11920354702069699
2019-02-25,-0.10668844216328723,-0.11518844216328723
2019-02-26,-0.10471318180791916,-0.11346318180791917
2019-02-27,-0.09575868911437396,-0.10475868911437397
2019-02-28,-0.09447809371275484,-0.10372809371275485
2019-03-01,-0.09199771712042805,-0.10149771712042806
2019-03-04,-0.08772497239646286,-0.09747497239646287
2019-03-05,-0.07186074981624398,-0.08186074981624399
2019-03-06,-0.07142033815537635,-0.08167033815537636
2019-03-07,-0.06255657634402909,-0.0730565763440291
2019-03-08,-0.07070059270493699,-0.081450592704937
2019-03-11,-0.074631268579626,-0.08563126857962601
2019-03-12,-0.09095276043907752,-0.10220276043907753
2019-03-13,-0.09074876056601543,-0.10224876056601544
2019-03-14,-0.08660954592078644,-0.09835954592078645
2019-03-15,-0.09717566472566115,-0.10917566472566116
2019-03-18,-0.12096940557934643,-0.13321940557934644
2019-03-19,-0.12207088970992282,-0.13457088970992281
2019-03-20,-0.13461177368224286,-0.14736177368224287
2019-03-21,-0.1062974825248775,-0.11929748252487751
2019-03-22,-0.10069447532135845,-0.11394447532135846
2019-03-25,-0.09843819831812183,-0.11193819831812184
2019-03-26,-0.08993092400694729,-0.1036809240069473
2019-03-27,-0.09344732935147555,-0.10744732935147557
2019-03-28,-0.09555940221184622,-0.10980940221184624
2019-03-29,-0.12060099905628745,-0.13510099905628747
2019-04-01,-0.11988897250982102,-0.13463897250982104
2019-04-02,-0.13408181332898172,-0.14908181332898177
2019-04-03,-0.13639277088073337,-0.1516427708807334
2019-04-04,-0.14132391805550593,-0.15682391805550597
2019-04-05,-0.13563325021544734,-0.15138325021544738
2019-04-08,-0.12445635270599494,-0.140456352705995
2019-04-09,-0.12969928103387357,-0.14594928103387364
2019-04-10,-0.13241329095850463,-0.1489132909585047
2019-04-11,-0.13419172560416703,-0.1509417256041671
2019-04-12,-0.12161614678620994,-0.13861614678621
2019-04-15,-0.12885798861924028,-0.14610798861924035
2019-04-16,-0.13822082943943623,-0.1557208294394363
2019-04-17,-0.14088258398169706,-0.15863258398169713
2019-04-18,-0.15751872023514832,-0.1755187202351484
2019-04-22,-0.1679350513049367,-0.18618505130493676
2019-04-23,-0.1620593369331645,-0.18055933693316456
2019-04-24,-0.16006073374169422,-0.1788107337416943
2019-04-25,-0.1581870602788246,-0.17718706027882467
2019-04-26,-0.1545317558819677,-0.17378175588196776
2019-04-29,-0.13854394323878724,-0.15804394323878732
2019-04-30,-0.133372212813046,-0.15312221281304608
2019-05-01,-0.14181169633217935,-0.16181169633217943
2019-05-02,-0.1490816967645411,-0.16933169676454118
2019-05-03,-0.14930460463730247,-0.16980460463730254
2019-05-06,-0.1431351130360925,-0.16388511303609257
2019-05-07,-0.15077123145621907,-0.17177123145621914
2019-05-08,-0.13950657846801923,-0.1607565784680193
2019-05-09,-0.13424176651748787,-0.15574176651748795
2019-05-10,-0.12354772381856136,-0.14529772381856143
2019-05-13,-0.13471919368961063,-0.1567191936896107
2019-05-14,-0.13027233720493211,-0.1525223372049322
2019-05-15,-0.11856167980259291,-0.141061679802593
2019-05-16,-0.10530746735465106,-0.12805746735465115
2019-05-17,-0.09200190669126537,-0.11500190669126546
2019-05-20,-0.1048667148829035,-0.1281167148829036
2019-05-21,-0.08474571502005711,-0.10824571502005721
2019-05-22,-0.07048704525512066,-0.09423704525512076
2019-05-23,-0.07285309281647888,-0.09685309281647898
2019-05-24,-0.08331577263376415,-0.10756577263376425
2019-05-28,-0.08471279165531942,-0.10921279165531952
2019-05-29,-0.08761746906854274,-0.11236746906854285
2019-05-30,-0.08140791197199636,-0.10640791197199646
2019-05-31,-0.0673362316827118,-0.0925862316827119
2019-06-03,-0.0902430290619034,-0.11574302906190351
2019-06-04,-0.08515036809026513,-0.11090036809026524
2019-06-05,-0.09410152993767362,-0.12010152993767373
2019-06-06,-0.10001667011115926,-0.12626667011115938
2019-06-07,-0.11415018154613635,-0.14065018154613648
2019-06-10,-0.11496038162965956,-0.1417103816296597
2019-06-11,-0.09973802917071137,-0.1267380291707115
2019-06-12,-0.10534417626499251,-0.13259417626499265
2019-06-13,-0.08857596884231854,-0.11607596884231867
2019-06-14,-0.09519789799332917,-0.12294789799332931
2019-06-17,-0.115069337749933,-0.14306933774993313
2019-06-18,-0.11436377248483252,-0.14261377248483267
2019-06-19,-0.1220631421402961,-0.15056314214029626
2019-06-20,-0.11312519044240857,-0.14187519044240873
2019-06-21,-0.11122677172749627,-0.14022677172749642
2019-06-24,-0.0958419764558271,-0.12509197645582723
2019-06-25,-0.12151101675383882,-0.15101101675383896
2019-06-26,-0.13217797697772612,-0.16192797697772626
2019-06-27,-0.1350120632139312,-0.16501206321393133
2019-06-28,-0.14738753813966599,-0.17763753813966612
2019-07-01,-0.1377463271004822,-0.16824632710048235
2019-07-02,-0.1322194365003911,-0.16296943650039125
2019-07-08,-0.14208506213149474,-0.17308506213149488
2019-07-09,-0.14642723391721493,-0.17767723391721507
2019-07-10,-0.14229403528025406,-0.1737940352802542
2019-07-11,-0.1474876299358865,-0.17923762993588663
2019-07-12,-0.14672885580965542,-0.17872885580965556
2019-07-15,-0.14346341349320965,-0.1757134134932098
2019-07-16,-0.1394313170741245,-0.17193131707412465
2019-07-17,-0.13587779804914277,-0.1686277980491429
2019-07-18,-0.13464889567508104,-0.16764889567508118
2019-07-19,-0.14006416028444837,-0.17331416028444852
2019-07-22,-0.14140811988975538,-0.17490811988975552
2019-07-23,-0.14872882288675454,-0.18247882288675468
2019-07-24,-0.14486799001429168,-0.17886799001429182
2019-07-25,-0.14688435290414403,-0.18113435290414417
2019-07-26,-0.1476762094016059,-0.18217620940160603
2019-07-29,-0.15501353167742524,-0.18976353167742538
2019-07-30,-0.16277814504188512,-0.19777814504188526
2019-07-31,-0.15389792984702175,-0.1891479298470219
2019-08-01,-0.14876186095766333,-0.18426186095766348
2019-08-02,-0.143491668621338,-0.17924166862133817
2019-08-05,-0.14042138079770725,-0.17642138079770742
2019-08-06,-0.13230205182956772,-0.1685520518295679
2019-08-07,-0.15163311871757804,-0.1881331187175782
2019-08-08,-0.13879723411137704,-0.1755472341113772
2019-08-09,-0.13323147894032492,-0.1702314789403251
2019-08-12,-0.13990081826950318,-0.17715081826950335
2019-08-13,-0.13052491313153036,-0.16802491313153053
2019-08-14,-0.11088091697827265,-0.14863091697827283
2019-08-15,-0.14010567203761723,-0.1781056720376174
2019-08-16,-0.15113528189969572,-0.1893852818996959
2019-08-19,-0.13969220233332486,-0.17819220233332503
