Date,gross,net
2019-01-07,0.0036847039098217294,0.003434703909821729
2019-01-08,-0.021278600889186216,-0.021778600889186216
2019-01-09,-0.035885214578532235,-0.036635214578532235
2019-01-10,-0.0340315182741772,-0.0350315182741772
2019-01-11,-0.045801115017305744,-0.047051115017305745
2019-01-14,-0.04304733747747426,-0.04454733747747426
2019-01-15,-0.06871435126237548,-0.07046435126237548
2019-01-16,-0.06787839641447288,-0.06987839641447288
2019-01-17,-0.07511330586076616,-0.07736330586076616
2019-01-18,-0.06082898469903845,-0.06332898469903844
2019-01-22,-0.048138583322525394,-0.050888583322525396
2019-01-23,-0.0575781766268953,-0.060578176626895304
2019-01-24,-0.07261402164945523,-0.07586402164945523
2019-01-25,-0.06697798215245393,-0.07047798215245393
2019-01-28,-0.057138972294340395,-0.0608889722943404
2019-01-29,-0.08009120640207704,-0.08409120640207704
2019-01-30,-0.08274454518376045,-0.08699454518376046
2019-01-31,-0.08173847624006456,-0.08623847624006456
2019-02-01,-0.09188840708459328,-0.09663840708459329
2019-02-04,-0.10226247702749586,-0.10726247702749586
2019-02-05,-0.10206799709166146,-0.10731799709166147
2019-02-06,-0.09020408973409169,-0.0957040897340917
2019-02-07,-0.0719212617318143,-0.07767126173181431
2019-02-08,-0.07906838313694026,-0.08506838313694026
2019-02-11,-0.08874247115191686,-0.09499247115191686
2019-02-12,-0.09528570051564623,-0.10178570051564624
2019-02-13,-0.08288913884423488,-0.08963913884423488
2019-02-14,-0.08990739006542472,-0.09690739006542473
2019-02-15,-0.09432004405287052,-0.10157004405287053
2019-02-19,-0.10083926906554024,-0.10833926906554024
2019-02-20,-0.093708896070723,-0.101458896070723
2019-02-21,-0.09319124862484959,-0.1011912486248496
2019-02-22,-0.10395925930605626,-0.11220925930605627
2019-02-25,-0.10396540197421994,-0.11246540197421995
2019-02-26,-0.09731244682030307,-0.10606244682030308
2019-02-27,-0.08618827446075612,-0.09518827446075613
2019-02-28,-0.0903430445674213,-0.09959304456742131
2019-03-01,-0.09015610884251886,-0.09965610884251887
2019-03-04,-0.08167219871076588,-0.09142219871076589
2019-03-05,-0.06954678289223999,-0.07954678289224
2019-03-06,-0.060378053618287554,-0.07062805361828756
2019-03-07,-0.05724304868336847,-0.06774304868336847
2019-03-08,-0.0735393338225095,-0.0842893338225095
2019-03-11,-0.07865500524807194,-0.08965500524807193
2019-03-12,-0.08933899429548939,-0.10058899429548938
2019-03-13,-0.09034759313798088,-0.10184759313798088
2019-03-14,-0.09133185942135277,-0.10308185942135277
2019-03-15,-0.10631178721958214,-0.11831178721958213
2019-03-18,-0.11821525010233117,-0.13046525010233115
2019-03-19,-0.10957372916726114,-0.12207372916726113
2019-03-20,-0.12041095459590166,-0.13316095459590166
2019-03-21,-0.10466176541099945,-0.11766176541099944
2019-03-22,-0.09314764520569177,-0.10639764520569177
2019-03-25,-0.1005246948681822,-0.1140246948681822
2019-03-26,-0.09934516714270764,-0.11309516714270763
2019-03-27,-0.10287631206763595,-0.11687631206763595
2019-03-28,-0.10314088016567753,-0.11739088016567753
2019-03-29,-0.12747757476506727,-0.14197757476506728
2019-04-01,-0.12376016597500097,-0.138510165975001
2019-04-02,-0.138337073007095,-0.153337073007095
2019-04-03,-0.1496714691917869,-0.1649214691917869
2019-04-04,-0.15550965053736407,-0.17100965053736408
2019-04-05,-0.1521107596678358,-0.1678607596678358
2019-04-08,-0.13909297583478683,-0.15509297583478684
2019-04-09,-0.1366098926362899,-0.1528598926362899
2019-04-10,-0.13612070144615224,-0.15262070144615225
2019-04-11,-0.1378886299218324,-0.15463862992183242
2019-04-12,-0.13943337930895747,-0.15643337930895748
2019-04-15,-0.16428360429998295,-0.18153360429998297
2019-04-16,-0.15630163151278786,-0.17380163151278788
2019-04-17,-0.15860245995350725,-0.17635245995350726
2019-04-18,-0.1661989074284431,-0.1841989074284431
2019-04-22,-0.17709332552247622,-0.19534332552247624
2019-04-23,-0.17183919328114225,-0.19033919328114227
2019-04-24,-0.17126605376781362,-0.19001605376781364
2019-04-25,-0.16841631926187495,-0.18741631926187496
2019-04-26,-0.16797401292072034,-0.18722401292072036
2019-04-29,-0.1771275703533573,-0.19662757035335732
2019-04-30,-0.18534440765092505,-0.20509440765092507
2019-05-01,-0.17794163652280948,-0.1979416365228095
2019-05-02,-0.17289596165903365,-0.19314596165903367
2019-05-03,-0.18673323053670318,-0.2072332305367032
2019-05-06,-0.19048410490341797,-0.21123410490341799
2019-05-07,-0.1897636157074102,-0.21076361570741023
2019-05-08,-0.185972479752445,-0.207222479752445
2019-05-09,-0.17117689910540565,-0.19267689910540567
2019-05-10,-0.1731223523340828,-0.19487235233408282
2019-05-13,-0.15788971066496038,-0.1798897106649604
2019-05-14,-0.14784080934637178,-0.1700908093463718
2019-05-15,-0.1483550569528986,-0.17085505695289863
2019-05-16,-0.15532935553665933,-0.17807935553665935
2019-05-17,-0.1753878102067538,-0.19838781020675383
2019-05-20,-0.17559368885385757,-0.1988436888538576
2019-05-21,-0.19201624929331917,-0.2155162492933192
2019-05-22,-0.20098680865197338,-0.2247368086519734
2019-05-23,-0.2024428635398982,-0.22644286353989823
2019-05-24,-0.18219467536920333,-0.20644467536920336
2019-05-28,-0.19143170435991372,-0.21593170435991374
2019-05-29,-0.1807565980695934,-0.20550659806959343
2019-05-30,-0.17540221213103804,-0.20040221213103807
2019-05-31,-0.1999446457444302,-0.2251946457444302
2019-06-03,-0.20092536923488166,-0.22642536923488168
2019-06-04,-0.18261791144847353,-0.20836791144847355
2019-06-05,-0.1750321088624741,-0.20103210886247413
2019-06-06,-0.17231951435705403,-0.19856951435705406
2019-06-07,-0.18048668326491035,-0.20698668326491038
2019-06-10,-0.18954316035365687,-0.2162931603536569
2019-06-11,-0.18530568872219078,-0.2123056887221908
2019-06-12,-0.19276877117504604,-0.22001877117504606
2019-06-13,-0.1913452821594248,-0.21884528215942484
2019-06-14,-0.20294080208439144,-0.23069080208439147
2019-06-17,-0.19735578475827495,-0.22535578475827497
2019-06-18,-0.19285653420942497,-0.221106534209425
2019-06-19,-0.19630230164780535,-0.22480230164780537
2019-06-20,-0.21262834849172632,-0.24137834849172635
2019-06-21,-0.2041073286012498,-0.23310732860124983
2019-06-24,-0.21193292126710758,-0.2411829212671076
2019-06-25,-0.21590975051377043,-0.24540975051377045
2019-06-26,-0.2169731543275112,-0.2467231543275112
2019-06-27,-0.21189493413687335,-0.24189493413687338
2019-06-28,-0.21197477213342136,-0.2422247721334214
2019-07-01,-0.20244655484569032,-0.23294655484569035
2019-07-02,-0.20121289479977517,-0.2319628947997752
2019-07-08,-0.19502410613782875,-0.22602410613782878
2019-07-09,-0.194841353866704,-0.22609135386670404
2019-07-10,-0.19653914307209927,-0.2280391430720993
2019-07-11,-0.1951817137395037,-0.22693171373950372
2019-07-12,-0.18994708066435945,-0.22194708066435948
2019-07-15,-0.19916301474345732,-0.23141301474345735
2019-07-16,-0.20103591754619024,-0.23353591754619027
2019-07-17,-0.2088246629878187,-0.24157466298781874
2019-07-18,-0.21486744863717677,-0.2478674486371768
2019-07-19,-0.2077880454860275,-0.24103804548602753
2019-07-22,-0.21711326035132325,-0.2506132603513233
2019-07-23,-0.2184828774677311,-0.25223287746773115
2019-07-24,-0.21625083953592353,-0.2502508395359236
2019-07-25,-0.2133734869254657,-0.24762348692546576
2019-07-26,-0.21852968301909872,-0.2530296830190988
2019-07-29,-0.23055163591934866,-0.2653016359193487
2019-07-30,-0.25220119160765764,-0.28720119160765767
2019-07-31,-0.24999772036523932,-0.2852477203652394
2019-08-01,-0.25352092229720713,-0.28902092229720716
2019-08-02,-0.25577581479748124,-0.29152581479748124
2019-08-05,-0.24295535286634734,-0.2789553528663473
2019-08-06,-0.236521353526687,-0.27277135352668697
2019-08-07,-0.21798578113746828,-0.2544857811374682
2019-08-08,-0.2100697032289055,-0.24681970322890545
2019-08-09,-0.2093640818661588,-0.24636408186615874
2019-08-12,-0.20934272483180022,-0.24659272483180017
2019-08-13,-0.20437781157027377,-0.24187781157027372
2019-08-14,-0.19361573691572387,-0.23136573691572382
2019-08-15,-0.20329211214927162,-0.24129211214927157
2019-08-16,-0.20974824869901162,-0.24799824869901158
2019-08-19,-0.20100263203618843,-0.23950263203618838
2019-08-20,-0.19046493464294353,-0.22921493464294349
2019-08-21,-0.1857673179413102,-0.22476731794131016
2019-08-22,-0.185350851312976,-0.22460085131297594
2019-08-23,-0.18202580017507136,-0.2215258001750713
2019-08-26,-0.16564826305302932,-0.20539826305302927
2019-08-27,-0.17078259119912612,-0.21078259119912607
2019-08-28,-0.1792718824969543,-0.21952188249695426
2019-08-29,-0.1841304938722131,-0.22463049387221307
2019-08-30,-0.18602873621264743,-0.22677873621264738
2019-09-03,-0.19114165600185698,-0.23214165600185693
2019-09-04,-0.19422463412003368,-0.23547463412003364
2019-09-05,-0.197141807551886,-0.23864180755188596
2019-09-06,-0.21768464248873784,-0.2594346424887378
2019-09-09,-0.23731369447501993,-0.2793136944750199
2019-09-10,-0.23935097925131682,-0.2816009792513168
2019-09-11,-0.23722444008485533,-0.27972444008485525
2019-09-12,-0.24018650452785714,-0.28293650452785707
2019-09-13,-0.26179723756980244,-0.30479723756980237
2019-09-16,-0.25360968747052903,-0.296859687470529
2019-09-17,-0.24975155756112918,-0.29325155756112914
2019-09-18,-0.2532479348655415,-0.29699793486554144
2019-09-19,-0.2611605506606766,-0.3051605506606766
2019-09-20,-0.2505093242080945,-0.29475932420809453
2019-09-23,-0.24353078988893365,-0.28803078988893366
2019-09-24,-0.2461764062617992,-0.2909264062617992
2019-09-25,-0.2382801488306213,-0.2832801488306213
2019-09-26,-0.24249876982853816,-0.28774876982853814
2019-09-27,-0.2412373563292731,-0.28673735632927305
2019-09-30,-0.23249130652522193,-0.2782413065252219
2019-10-01,-0.22836063576045293,-0.2743606357604529
2019-10-02,-0.22833990435509652,-0.27458990435509645
2019-10-03,-0.22013306702406737,-0.2666330670240673
2019-10-04,-0.22656575664892353,-0.2733157566489235
2019-10-07,-0.22831669621509754,-0.27531669621509747
2019-10-08,-0.22441103689759995,-0.2716610368975999
2019-10-09,-0.23730384810056718,-0.28480384810056714
2019-10-10,-0.24822289860097585,-0.2959728986009758
2019-10-11,-0.2545708793904353,-0.30257087939043525
2019-10-14,-0.26012941964250547,-0.30837941964250537
